# HoopsValue - REAL 2026 free-agency signings (actual reported deals).
# This is the GROUND TRUTH we score the model against. It is NOT fed into the
# projection (that stays the model's pure guess) — scripts/compare_signings.py
# joins each row to the model's projection so we can track accuracy live as the
# offseason unfolds.
#
#   player      = signed player (match the model's name; aliases handled in the script)
#   team        = 3-letter abbr (blank if unknown / not relevant)
#   years       = contract length
#   total_M     = total guaranteed $ in millions
#   yr1_M       = FIRST-YEAR salary in $M (what the model predicts; = total/years with
#                 ~5% raises, or the flat figure for a 1-yr deal). The comparison uses this.
#   type        = resign | ufa | rfa | extension | unknown
#   signed_date = YYYY-MM (when reported)
#   source      = where it was reported
#   note        = free text
#
# Add a row each time a real signing is reported. Lines starting with # are ignored.
# Verified 2026-07-14 (deals through July 14, 2026; Spotrac/ESPN/Hoops Rumors).
player,team,years,total_M,yr1_M,type,signed_date,source,note
Collin Gillespie,PHX,4,48,10.71,resign,2026-07,SalarySwish + Spotrac (4yr/$48M; 2026-27 = $10;714;286),corrected via Spotrac verify: Marginal overstatement. Team/type/years/total ($48M) all correct; but actual 202
Jordan Goodwin,PHX,3,19,5.8,resign,2026-06,NBC,3yr/$19M re-sign (starts $5.8M; yr3 player option $6.8M)
Trae Young,WAS,4,212,47.3,resign,2026-06,ESPN,declined option; 4yr/$212M max re-sign (yr1 ~8% raises) - VERIFY
Ayo Dosunmu,MIN,5,112,19.31,resign,2026-07,Spotrac + SalarySwish (2026-27 base $19;310;345; 8% ascendin,corrected via Spotrac verify: Recorded $20.4M assumes ~5% raises; this is a Bird re-sign with 8% raises; so th
Austin Reaves,LAL,4,180,41.24,resign,2026-07,SalarySwish ($41;240;250) / ESPN / CBS / Heavy (starts at $4,corrected via Spotrac verify: Actual 2026-27 first-year salary is $41;240;250 ($41.24M); not $41.98M — a $0.74
Coby White,CHA,3,74,26.81,resign,2026-07,SalarySwish + Spotrac (2026-27 base $26;811;593; 3yr/$74M fu,corrected via Spotrac verify: Deal is FRONT-LOADED (descending ~8%/yr); not ascending. The $23.5M recorded ass
Mark Williams,PHX,3,38,12.1,rfa,2026-06,ESPN,3yr/$38M RFA re-sign with Phoenix (fully guaranteed)
Al Horford,GSW,2,14,6.8,resign,2026-06,ESPN,2yr/$14M re-sign with Golden State (yr2 structure disputed: option vs guaranteed)
Mohamed Diawara,NYK,4,11.28,2.6,resign,2026-07,Spotrac (id 99263); Hoops Rumors 'Knicks; Mohamed Diawara Fi,corrected via Spotrac verify: Recorded as 2yr/$3.6M with yr1 $1.8M; but Diawara signed a 4-year; $11;278;738 s
Jose Alvarado,NYK,3,14,4.3,resign,2026-06,ESPN,3yr/$14M re-sign (declined $4.5M option); yr1 ~$4.293M per report
